"mixture","Replication","Dilution","Response","celltype","phenotype"
"RFD-H","4",1,0.82350892901557,"iCell Neurons","ATP"
"RFD-L","4",1,0.87897328756902,"iCell Neurons","ATP"
"Expo-H","4",1,1.07894344127742,"iCell Neurons","ATP"
"Expo-L","4",1,0.673780032830921,"iCell Neurons","ATP"
"AC50-H","4",1,0.0164154603790479,"iCell Neurons","ATP"
"POD-H","4",1,0.0203949659254838,"iCell Neurons","ATP"
"AC50-L","5",1,0.774262547878426,"iCell Neurons","ATP"
"POD-L","5",1,0.019648808635527,"iCell Neurons","ATP"
"RFD-H","5",1,0.726757200417848,"iCell Neurons","ATP"
"RFD-L","5",1,0.588718101775854,"iCell Neurons","ATP"
"Expo-H","5",1,1.10679998010247,"iCell Neurons","ATP"
"Expo-L","5",1,0.88121175943889,"iCell Neurons","ATP"
"AC50-H","5",1,0.0233795950853106,"iCell Neurons","ATP"
"POD-H","5",1,0.0166641794757001,"iCell Neurons","ATP"
"AC50-L","6",1,0.716559717455106,"iCell Neurons","ATP"
"POD-L","6",1,0.019648808635527,"iCell Neurons","ATP"
"RFD-H","6",1,0.788190817290952,"iCell Neurons","ATP"
"RFD-L","6",1,0.46833805899617,"iCell Neurons","ATP"
"Expo-H","6",1,0.440232801074467,"iCell Neurons","ATP"
"Expo-L","6",1,0.872506591056061,"iCell Neurons","ATP"
"AC50-H","6",1,0.021638561408745,"iCell Neurons","ATP"
"POD-H","6",1,0.0258667860518331,"iCell Neurons","ATP"
"AC50-L","1",0.0001,0.803468208092486,"iCell Neurons","Cell Number"
"POD-L","1",0.0001,0.809248554913295,"iCell Neurons","Cell Number"
"RFD-H","1",0.0001,1.05780346820809,"iCell Neurons","Cell Number"
"Expo-H","1",0.0001,0.965317919075144,"iCell Neurons","Cell Number"
"Expo-L","1",0.0001,0.84971098265896,"iCell Neurons","Cell Number"
"AC50-H","1",0.0001,1,"iCell Neurons","Cell Number"
"POD-H","1",0.0001,0.855491329479769,"iCell Neurons","Cell Number"
"RFD-L","1",0.0001,0.953757225433526,"iCell Neurons","Cell Number"
"AC50-L","2",0.0001,0.942196531791908,"iCell Neurons","Cell Number"
"POD-L","2",0.0001,0.826589595375723,"iCell Neurons","Cell Number"
"RFD-H","2",0.0001,0.913294797687861,"iCell Neurons","Cell Number"
"Expo-H","2",0.0001,0.919075144508671,"iCell Neurons","Cell Number"
"Expo-L","2",0.0001,0.884393063583815,"iCell Neurons","Cell Number"
"AC50-H","2",0.0001,0.913294797687861,"iCell Neurons","Cell Number"
"POD-H","2",0.0001,1.02312138728324,"iCell Neurons","Cell Number"
"RFD-L","2",0.0001,0.878612716763006,"iCell Neurons","Cell Number"
"AC50-L","3",0.0001,0.976878612716763,"iCell Neurons","Cell Number"
"POD-L","3",0.0001,0.942196531791908,"iCell Neurons","Cell Number"
"RFD-H","3",0.0001,1.05780346820809,"iCell Neurons","Cell Number"
"Expo-H","3",0.0001,1.00578034682081,"iCell Neurons","Cell Number"
"Expo-L","3",0.0001,0.976878612716763,"iCell Neurons","Cell Number"
"AC50-H","3",0.0001,0.797687861271676,"iCell Neurons","Cell Number"
"POD-H","3",0.0001,0.913294797687861,"iCell Neurons","Cell Number"
"RFD-L","3",0.0001,0.982658959537572,"iCell Neurons","Cell Number"
"AC50-L","4",0.0001,1.01960784313725,"iCell Neurons","Cell Number"
"POD-L","4",0.0001,1.04374057315234,"iCell Neurons","Cell Number"
"RFD-H","4",0.0001,0.971342383107089,"iCell Neurons","Cell Number"
"Expo-H","4",0.0001,0.923076923076923,"iCell Neurons","Cell Number"
"Expo-L","4",0.0001,1.08597285067873,"iCell Neurons","Cell Number"
"AC50-H","4",0.0001,0.880844645550528,"iCell Neurons","Cell Number"
"POD-H","4",0.0001,0.880844645550528,"iCell Neurons","Cell Number"
"RFD-L","4",0.0001,1.04374057315234,"iCell Neurons","Cell Number"
"AC50-L","5",0.0001,1.236802413273,"iCell Neurons","Cell Number"
"POD-L","5",0.0001,1.11010558069382,"iCell Neurons","Cell Number"
"RFD-H","5",0.0001,0.953242835595777,"iCell Neurons","Cell Number"
"Expo-H","5",0.0001,1.00150829562594,"iCell Neurons","Cell Number"
"Expo-L","5",0.0001,0.965309200603318,"iCell Neurons","Cell Number"
"AC50-H","5",0.0001,0.856711915535445,"iCell Neurons","Cell Number"
"POD-H","5",0.0001,1.10407239819005,"iCell Neurons","Cell Number"
"RFD-L","5",0.0001,0.98340874811463,"iCell Neurons","Cell Number"
"AC50-L","6",0.0001,0.965309200603318,"iCell Neurons","Cell Number"
"POD-L","6",0.0001,0.989441930618401,"iCell Neurons","Cell Number"
"RFD-H","6",0.0001,0.886877828054299,"iCell Neurons","Cell Number"
"Expo-H","6",0.0001,0.929110105580694,"iCell Neurons","Cell Number"
"Expo-L","6",0.0001,0.929110105580694,"iCell Neurons","Cell Number"
"AC50-H","6",0.0001,0.97737556561086,"iCell Neurons","Cell Number"
"POD-H","6",0.0001,1.02564102564103,"iCell Neurons","Cell Number"
"RFD-L","6",0.0001,1.06787330316742,"iCell Neurons","Cell Number"
"AC50-L","1",0.001,0.832369942196532,"iCell Neurons","Cell Number"
"POD-L","1",0.001,0.867052023121387,"iCell Neurons","Cell Number"
"RFD-H","1",0.001,0.774566473988439,"iCell Neurons","Cell Number"
"Expo-H","1",0.001,0.872832369942197,"iCell Neurons","Cell Number"
"Expo-L","1",0.001,1.04624277456647,"iCell Neurons","Cell Number"
"AC50-H","1",0.001,0.0115606936416185,"iCell Neurons","Cell Number"
"POD-H","1",0.001,1.02890173410405,"iCell Neurons","Cell Number"
"RFD-L","1",0.001,0.786127167630058,"iCell Neurons","Cell Number"
"AC50-L","2",0.001,0.757225433526012,"iCell Neurons","Cell Number"
"POD-L","2",0.001,0.791907514450867,"iCell Neurons","Cell Number"
"RFD-H","2",0.001,0.890173410404624,"iCell Neurons","Cell Number"
"Expo-H","2",0.001,0.797687861271676,"iCell Neurons","Cell Number"
"Expo-L","2",0.001,0.907514450867052,"iCell Neurons","Cell Number"
"AC50-H","2",0.001,0.0115606936416185,"iCell Neurons","Cell Number"
"POD-H","2",0.001,1,"iCell Neurons","Cell Number"
"RFD-L","2",0.001,1.02890173410405,"iCell Neurons","Cell Number"
"AC50-L","3",0.001,0.92485549132948,"iCell Neurons","Cell Number"
"POD-L","3",0.001,1,"iCell Neurons","Cell Number"
"RFD-H","3",0.001,0.971098265895954,"iCell Neurons","Cell Number"
"Expo-H","3",0.001,1.05780346820809,"iCell Neurons","Cell Number"
"Expo-L","3",0.001,0.832369942196532,"iCell Neurons","Cell Number"
"AC50-H","3",0.001,0.473988439306358,"iCell Neurons","Cell Number"
"POD-H","3",0.001,0.023121387283237,"iCell Neurons","Cell Number"
"RFD-L","3",0.001,1,"iCell Neurons","Cell Number"
"AC50-L","4",0.001,0.89894419306184,"iCell Neurons","Cell Number"
"POD-L","4",0.001,1.04374057315234,"iCell Neurons","Cell Number"
"RFD-H","4",0.001,0.856711915535445,"iCell Neurons","Cell Number"
"Expo-H","4",0.001,0.935143288084464,"iCell Neurons","Cell Number"
"Expo-L","4",0.001,1.07390648567119,"iCell Neurons","Cell Number"
"AC50-H","4",0.001,0.355957767722474,"iCell Neurons","Cell Number"
"POD-H","4",0.001,0.98340874811463,"iCell Neurons","Cell Number"
"RFD-L","4",0.001,1.07993966817496,"iCell Neurons","Cell Number"
"AC50-L","5",0.001,1.07390648567119,"iCell Neurons","Cell Number"
"POD-L","5",0.001,0.941176470588235,"iCell Neurons","Cell Number"
"RFD-H","5",0.001,0.874811463046757,"iCell Neurons","Cell Number"
"Expo-H","5",0.001,0.838612368024133,"iCell Neurons","Cell Number"
"Expo-L","5",0.001,1.04977375565611,"iCell Neurons","Cell Number"
"AC50-H","5",0.001,0.307692307692308,"iCell Neurons","Cell Number"
"POD-H","5",0.001,1.06184012066365,"iCell Neurons","Cell Number"
"RFD-L","5",0.001,1.03770739064857,"iCell Neurons","Cell Number"
"AC50-L","6",0.001,1.02564102564103,"iCell Neurons","Cell Number"
"POD-L","6",0.001,1.00150829562594,"iCell Neurons","Cell Number"
"RFD-H","6",0.001,0.868778280542987,"iCell Neurons","Cell Number"
"Expo-H","6",0.001,0.796380090497738,"iCell Neurons","Cell Number"
"Expo-L","6",0.001,1.07993966817496,"iCell Neurons","Cell Number"
"AC50-H","6",0.001,0.892911010558069,"iCell Neurons","Cell Number"
"POD-H","6",0.001,0.971342383107089,"iCell Neurons","Cell Number"
"RFD-L","6",0.001,1.10407239819005,"iCell Neurons","Cell Number"
"AC50-L","1",0.1,0.797687861271676,"iCell Neurons","Cell Number"
"POD-L","1",0.1,0.930635838150289,"iCell Neurons","Cell Number"
"RFD-H","1",0.1,0.959537572254335,"iCell Neurons","Cell Number"
"Expo-H","1",0.1,0.959537572254335,"iCell Neurons","Cell Number"
"Expo-L","1",0.1,0.976878612716763,"iCell Neurons","Cell Number"
"AC50-H","1",0.1,0,"iCell Neurons","Cell Number"
"POD-H","1",0.1,0.00578034682080925,"iCell Neurons","Cell Number"
"RFD-L","1",0.1,1.14450867052023,"iCell Neurons","Cell Number"
"AC50-L","2",0.01,0.890173410404624,"iCell Neurons","Cell Number"
"POD-L","2",0.01,0.809248554913295,"iCell Neurons","Cell Number"
"RFD-H","2",0.01,0.913294797687861,"iCell Neurons","Cell Number"
"Expo-H","2",0.01,0.878612716763006,"iCell Neurons","Cell Number"
"Expo-L","2",0.01,0.942196531791908,"iCell Neurons","Cell Number"
"AC50-H","2",0.01,0,"iCell Neurons","Cell Number"
"POD-H","2",0.01,0,"iCell Neurons","Cell Number"
"RFD-L","2",0.01,0.930635838150289,"iCell Neurons","Cell Number"
"AC50-L","3",0.01,0.965317919075144,"iCell Neurons","Cell Number"
"POD-L","3",0.01,0.953757225433526,"iCell Neurons","Cell Number"
"RFD-H","3",0.01,0.872832369942197,"iCell Neurons","Cell Number"
"Expo-H","3",0.01,0.0809248554913295,"iCell Neurons","Cell Number"
"Expo-L","3",0.01,1,"iCell Neurons","Cell Number"
"AC50-H","3",0.01,0,"iCell Neurons","Cell Number"
"POD-H","3",0.01,0,"iCell Neurons","Cell Number"
"RFD-L","3",0.01,1.04046242774566,"iCell Neurons","Cell Number"
"AC50-L","4",0.01,0.911010558069382,"iCell Neurons","Cell Number"
"POD-L","4",0.01,0.98340874811463,"iCell Neurons","Cell Number"
"RFD-H","4",0.01,1.05580693815988,"iCell Neurons","Cell Number"
"Expo-H","4",0.01,0.97737556561086,"iCell Neurons","Cell Number"
"Expo-L","4",0.01,0.989441930618401,"iCell Neurons","Cell Number"
"AC50-H","4",0.01,0,"iCell Neurons","Cell Number"
"POD-H","4",0.01,0.470588235294118,"iCell Neurons","Cell Number"
"RFD-L","4",0.01,0.959276018099548,"iCell Neurons","Cell Number"
"AC50-L","5",0.01,0.904977375565611,"iCell Neurons","Cell Number"
"POD-L","5",0.01,0.862745098039216,"iCell Neurons","Cell Number"
"RFD-H","5",0.01,1.06787330316742,"iCell Neurons","Cell Number"
"Expo-H","5",0.01,0.971342383107089,"iCell Neurons","Cell Number"
"Expo-L","5",0.01,0.917043740573152,"iCell Neurons","Cell Number"
"AC50-H","5",0.01,0,"iCell Neurons","Cell Number"
"POD-H","5",0.01,0.150829562594268,"iCell Neurons","Cell Number"
"RFD-L","5",0.01,0.947209653092006,"iCell Neurons","Cell Number"
"AC50-L","6",0.01,1.07390648567119,"iCell Neurons","Cell Number"
"POD-L","6",0.01,0.941176470588235,"iCell Neurons","Cell Number"
"RFD-H","6",0.01,0.965309200603318,"iCell Neurons","Cell Number"
"Expo-H","6",0.01,0.941176470588235,"iCell Neurons","Cell Number"
"Expo-L","6",0.01,1.00754147812971,"iCell Neurons","Cell Number"
"AC50-H","6",0.01,0.00603318250377074,"iCell Neurons","Cell Number"
"POD-H","6",0.01,0.00603318250377074,"iCell Neurons","Cell Number"
"RFD-L","6",0.01,0.862745098039216,"iCell Neurons","Cell Number"
"AC50-L","1",0.1,0.797687861271676,"iCell Neurons","Cell Number"
"POD-L","1",0.1,0.930635838150289,"iCell Neurons","Cell Number"
"RFD-H","1",0.1,0.959537572254335,"iCell Neurons","Cell Number"
"Expo-H","1",0.1,0.959537572254335,"iCell Neurons","Cell Number"
"Expo-L","1",0.1,0.976878612716763,"iCell Neurons","Cell Number"
"AC50-H","1",0.1,0,"iCell Neurons","Cell Number"
"POD-H","1",0.1,0.00578034682080925,"iCell Neurons","Cell Number"
